tool	pinned	kind	arm64_versions
agrvate	1.0.2	dep-gap	1.0 .. 1.0.2
amplify	2.0.1	dep-gap	1.0.0 .. 2.0.1
bakta	1.12.0	dep-gap	0.3 .. 1.12.0
braker3	3.0.8	dep-gap	3.0.3 .. 3.0.8
busco	6.1.0	dep-gap	3.0.2 .. 6.1.0
carveme	1.6.6	dep-gap	1.6.1 .. 1.6.6
checkm2	1.1.0	dep-gap	1.0.1 .. 1.1.0
clippy	1.5.0	dep-gap	1.3.1 .. 1.5.0
comebin	1.0.4	dep-gap	1.0.2 .. 1.0.4
deeparg	1.0.4	dep-gap	1.0.2 .. 1.0.4
deepbgc	0.1.31	dep-gap	0.1.3 .. 0.1.31
deepvariant	1.10.0	dep-gap	1.8.0 .. 1.10.0
emmtyper	0.2.0	dep-gap	0.1.0 .. 0.2.0
fargene	0.1	dep-gap	0.1
fusioncatcher	1.33	dep-gap	1.10 .. 1.33b
gamma	2.2	dep-gap	1.0 .. 2.2
genotyphi	2.0	dep-gap	1.7.1 .. 2.0
hifiadapterfilt	3.0.0	dep-gap	3.0.0
hpsuissero	1.0.1	dep-gap	1.0.0 .. 1.0.1
instrain	1.10.0	dep-gap	1.2.2 .. 1.10.0
iphop	1.4.2	dep-gap	1.0.0 .. 1.4.2
isoseq3	4.0.0	version-pin	3.2.0 .. 3.2.1
kleborate	3.2.4	dep-gap	0.3.0 .. 3.2.4
legsta	0.5.2	dep-gap	0.3.3 .. 0.5.2
lissero	0.4.10	dep-gap	0.4.5 .. 0.4.10
macrel	1.6.0	dep-gap	1.2.0 .. 1.6.0
medaka	2.2.2	version-pin	2.0.1 .. 2.2.1
meningotype	0.8.6b	dep-gap	0.8.4 .. 0.8.6b
meryl	2013	version-pin	1.4.1
midas	1.3.2	dep-gap	1.2.2 .. 1.3.2
mobster	0.2.4.1	dep-gap	0.2.4.1
orthofinder	3.1.5	dep-gap	2.3.3 .. 3.1.5
panaroo	1.7.0	dep-gap	1.0.0 .. 1.7.0
paraphase	4.0.0	version-pin	1.1.3 .. 3.5.0
pbccs	6.4.0	version-pin	4.0.0
pbmm2	26.1.99	version-pin	1.8.0
pbsv	2.11.0	version-pin	2.2.1 .. 2.2.2
phyloflash	3.4.2	dep-gap	3.4 .. 3.3b4
picrust2	2.6.3	dep-gap	2.0.3_b .. 2.6.3
plink	1.90b6.21	version-pin	1.90b7.7
pneumocat	1.2.1	dep-gap	1.2 .. 1.2.1
pycoqc	2.5.2	dep-gap	2.2.3 .. 2.5.2
ribocode	1.2.15	dep-gap	1.2.10 .. 1.2.15
scoary	1.6.16	dep-gap	1.6.16
seq2hla	2.3	dep-gap	2.2 .. 2.3
seqsero2	1.3.2	dep-gap	1.0.1 .. 1.3.2
seroba	1.0.2	dep-gap	1.0.1 .. 1.0.2
shovill	1.4.2	dep-gap	1.0.4 .. 1.4.2
singlem	0.21.3	dep-gap	0.13.2 .. 0.21.3
slamdunk	0.4.3	dep-gap	0.4.0 .. 0.4.3
snippy	4.6.0	dep-gap	4.4.0 .. 4.6.0
srst2	0.2.0	dep-gap	0.2.0
ssuissero	1.0.1	dep-gap	1.0.0 .. 1.0.1
sushie	0.19	dep-gap	0.19
svanalyzer	0.36	dep-gap	0.3 .. 0.36
svtools	0.5.1	dep-gap	0.5.1
svtyper	0.7.1	dep-gap	0.7.1
telogator2	2.2.3	dep-gap	2.2.2 .. 2.2.3
tetranscripts	2.2.4	dep-gap	2.1.3 .. 2.2.4
thermorawfileparser	2.0.0.dev	version-pin	1.1.7 .. 1.4.5
trgt	5.0.0	version-pin	0.3.3 .. 0.9.0
vamb	5.0.4	dep-gap	5.0.3 .. 5.0.4
varlociraptor	8.9.5	version-pin	8.4.6 .. 8.9.4
vt	2015.11.10	version-pin	0.57721
vuegen	0.6.0	dep-gap	0.2.2 .. 0.6.0
